ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
1106,1,W,0,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1107,2,W,1,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1108,3,W,2,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1109,4,W,3,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1110,5,W,4,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1111,6,W,5,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1112,7,W,6,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1113,8,W,7,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1114,9,W,8,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1115,10,W,9,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1116,11,W,10,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1117,12,W,11,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1118,13,W,12,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1119,14,W,13,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1120,15,W,14,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1121,16,W,15,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1122,17,W,16,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1123,18,W,17,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1124,19,W,18,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1125,20,W,19,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1126,21,W,20,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1127,22,W,21,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1128,23,W,22,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1129,24,W,23,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1130,25,W,24,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1131,26,W,25,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1132,27,W,26,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1133,28,W,27,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1134,29,W,28,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1135,30,W,29,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
