ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
1076,1,W,0,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1077,2,W,5,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1078,3,W,10,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1079,4,W,15,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1080,5,W,20,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1081,6,W,25,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1082,7,W,30,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1083,8,W,35,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1084,9,W,40,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1085,10,W,45,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1086,11,W,50,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1087,12,W,55,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1088,13,W,60,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1089,14,W,65,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1090,15,W,70,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1091,16,W,75,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1092,17,W,80,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1093,18,W,85,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1094,19,W,90,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1095,20,W,95,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1096,21,W,100,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1097,22,W,105,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1098,23,W,110,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1099,24,W,115,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1100,25,W,120,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1101,26,W,125,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1102,27,W,130,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1103,28,W,135,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1104,29,W,140,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1105,30,W,145,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
