ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
1136,1,W,0,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1137,2,W,5,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1138,3,W,10,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1139,4,W,15,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1140,5,W,20,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1141,6,W,25,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1142,7,W,30,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1143,8,W,35,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1144,9,W,40,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1145,10,W,45,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1146,11,W,50,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1147,12,W,55,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1148,13,W,60,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1149,14,W,65,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1150,15,W,70,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1151,16,W,75,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1152,17,W,80,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1153,18,W,85,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1154,19,W,90,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1155,20,W,95,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1156,21,W,100,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1157,22,W,105,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1158,23,W,110,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1159,24,W,115,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1160,25,W,120,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1161,26,W,125,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1162,27,W,130,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1163,28,W,135,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1164,29,W,140,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1165,30,W,145,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
