ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
2510,reset,B,0,1,BOOL,,0,rw,,0,,,,,,,0,0,,,0,,,,
2511,maintenance_mode,B,1,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
2512,mode_preheat,B,2,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
2513,target_menit,W,0,1,SHORT,,0,rw,,,,,,0,,,0,0,,,0,,,,
2514,adjust_menit,W,1,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2515,sisa_detik_masak,W,2,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
2516,total_detik_pemanasan,W,3,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
2517,flag_init_start,W,5,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
2518,flag_init_masak,W,6,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
2519,status_kosong,B,3,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
2520,status_pemanasan,B,4,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
2521,status_pemasakan,B,5,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
2522,status_selesai,B,6,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
2523,status_banner,W,7,25,STRING,DEFAULT,50,rw,,,,,,,,,0,0,,,0,,,,
2524,suhu_awal,W,32,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
2525,suhu_akhir,W,33,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
2526,perubahan_waktu,W,34,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
2527,tampil_jam_mulai,W,35,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
2528,tampil_jam_masak,W,40,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
2529,tampil_jam_selesai,W,45,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
2530,tampil_pemanasan,W,50,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
2531,tampil_durasi_aktual,W,55,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
2532,sensor_error,B,7,1,BOOL,,0,rw,,,,,,0,,,0,0,,,0,,,,
2533,status_resep,B,8,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
2534,durasi_aktual_up,W,60,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2535,ext_commOperation,B,9,1,BOOL,,0,rw,,,,,,0,,,0,0,,,0,,,,
2536,ext_commStatus,B,10,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
2537,ext_run_stop,B,11,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
2538,ext_temp,W,65,1,SHORT,,0,rw,,,,,,0,,,0,0,,,0,,,,
