ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
827,txt_status_kosong,W,0,50,STRING,DEFAULT,100,rw,,,,,,,,,0,1,,,0,,,,
828,txt_status_preheat,W,50,50,STRING,DEFAULT,100,rw,,,,,,,,,0,0,,,0,,,,
829,txt_status_pemanasan,W,100,50,STRING,DEFAULT,100,rw,,,,,,,,,0,0,,,0,,,,
830,txt_status_pemasakan,W,150,50,STRING,DEFAULT,100,rw,,,,,,,,,0,0,,,0,,,,
831,txt_status_selesai,W,200,50,STRING,DEFAULT,100,rw,,,,,,,,,0,0,,,0,,,,
832,txt_status_maintenance,W,250,50,STRING,DEFAULT,100,rw,,,,,,,,,0,0,,,0,,,,
833,txt_status_offline,W,300,50,STRING,DEFAULT,100,rw,,,,,,,,,0,0,,,0,,,,
834,txt_status_disable,W,350,50,STRING,DEFAULT,100,rw,,,,,,,,,0,0,,,0,,,,
835,txt_status_sensor_error,W,400,50,STRING,DEFAULT,100,rw,,,,,,,,,0,0,,,0,,,,
2281,monitor_room_1,W,450,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2282,monitor_room_2,W,460,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2283,monitor_room_3,W,470,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2284,monitor_room_4,W,480,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2285,monitor_room_5,W,490,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2286,monitor_sisa_1,W,500,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2287,monitor_sisa_2,W,510,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2288,monitor_sisa_3,W,520,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2289,monitor_sisa_4,W,530,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2290,monitor_sisa_5,W,540,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2291,monitor_selesai_1,W,550,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2292,monitor_selesai_2,W,560,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2293,monitor_selesai_3,W,570,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2294,monitor_selesai_4,W,580,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2295,monitor_selesai_5,W,590,10,STRING,DEFAULT,20,rw,,,,,,,,,0,0,,,0,,,,
2296,temp_error_limit,W,600,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
2348,txt_selesai_preheat,W,601,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,,
2349,txt_siap_preheat,W,626,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,,
2350,txt_siap_cooking,W,651,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,,
2351,txt_preheat_paused,W,676,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,,
2352,txt_status_paused,W,701,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,,
