ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
2297,no_steambox,W,0,1,SHORT,,0,rw,,,,,,0,,,0,0,,,0,,,,
2298,kode,W,1,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2299,nama,W,6,25,STRING,DEFAULT,50,rw,,,,,,0,,,0,0,,,0,,,,
2300,versi,W,31,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2301,batch,W,36,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2302,warna,W,37,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2303,qty,W,42,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2493,trolly,W,43,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2494,durasi,W,48,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2495,jam_mulai,W,49,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2496,durasi_pemanasan,W,54,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2497,jam_masak,W,59,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2498,durasi_aktual,W,64,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2499,jam_selesai,W,69,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2500,perubahan_waktu,W,74,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2501,suhu_awal,W,75,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2502,suhu_akhir,W,76,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2503,status,W,77,25,STRING,DEFAULT,50,rw,,,,,,0,,,0,0,,,0,,,,
