ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
2297,no_steambox,W,0,1,SHORT,,0,rw,,,,,,0,,,0,0,,,0,,,,
2298,kode,W,1,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2299,nama,W,6,25,STRING,DEFAULT,50,rw,,,,,,0,,,0,0,,,0,,,,
2300,versi,W,31,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2301,batch,W,36,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2302,warna,W,37,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2303,qty,W,42,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2304,jam_mulai,W,43,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2305,durasi_pemanasan,W,48,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2306,jam_masak,W,53,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2307,target_menit,W,58,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2308,perubahan_waktu,W,59,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2309,jam_selesai,W,60,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2310,status_banner,W,61,25,STRING,DEFAULT,50,rw,,,,,,0,,,0,0,,,0,,,,
2311,durasi_aktual,W,86,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
2312,suhu_awal,W,91,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
2313,suhu_akhir,W,92,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
