ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
986,1,W,0,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
987,2,W,5,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
988,3,W,10,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
989,4,W,15,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
990,5,W,20,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
991,6,W,25,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
992,7,W,30,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
993,8,W,35,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
994,9,W,40,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
995,10,W,45,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
996,11,W,50,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
997,12,W,55,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
998,13,W,60,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
999,14,W,65,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1000,15,W,70,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1001,16,W,75,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1002,17,W,80,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1003,18,W,85,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1004,19,W,90,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1005,20,W,95,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1006,21,W,100,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1007,22,W,105,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1008,23,W,110,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1009,24,W,115,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1010,25,W,120,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1011,26,W,125,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1012,27,W,130,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1013,28,W,135,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1014,29,W,140,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
1015,30,W,145,5,STRING,DEFAULT,10,rw,,,,,,,,,0,1,,,0,,,rw,
