ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
1016,1,W,0,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1017,2,W,25,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1018,3,W,50,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1019,4,W,75,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1020,5,W,100,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1021,6,W,125,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1022,7,W,150,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1023,8,W,175,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1024,9,W,200,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1025,10,W,225,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1026,11,W,250,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1027,12,W,275,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1028,13,W,300,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1029,14,W,325,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1030,15,W,350,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1031,16,W,375,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1032,17,W,400,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1033,18,W,425,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1034,19,W,450,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1035,20,W,475,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1036,21,W,500,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1037,22,W,525,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1038,23,W,550,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1039,24,W,575,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1040,25,W,600,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1041,26,W,625,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1042,27,W,650,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1043,28,W,675,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1044,29,W,700,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
1045,30,W,725,25,STRING,DEFAULT,50,rw,,,,,,,,,0,1,,,0,,,rw,
