ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
1166,1,W,0,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1167,2,W,1,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1168,3,W,2,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1169,4,W,3,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1170,5,W,4,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1171,6,W,5,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1172,7,W,6,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1173,8,W,7,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1174,9,W,8,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1175,10,W,9,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1176,11,W,10,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1177,12,W,11,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1178,13,W,12,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1179,14,W,13,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1180,15,W,14,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1181,16,W,15,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1182,17,W,16,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1183,18,W,17,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1184,19,W,18,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1185,20,W,19,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1186,21,W,20,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1187,22,W,21,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1188,23,W,22,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1189,24,W,23,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1190,25,W,24,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1191,26,W,25,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1192,27,W,26,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1193,28,W,27,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1194,29,W,28,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1195,30,W,29,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
