ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
1046,1,W,0,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1047,2,W,1,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1048,3,W,2,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1049,4,W,3,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1050,5,W,4,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1051,6,W,5,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1052,7,W,6,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1053,8,W,7,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1054,9,W,8,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1055,10,W,9,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1056,11,W,10,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1057,12,W,11,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1058,13,W,12,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1059,14,W,13,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1060,15,W,14,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1061,16,W,15,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1062,17,W,16,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1063,18,W,17,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1064,19,W,18,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1065,20,W,19,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1066,21,W,20,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1067,22,W,21,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1068,23,W,22,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1069,24,W,23,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1070,25,W,24,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1071,26,W,25,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1072,27,W,26,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1073,28,W,27,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1074,29,W,28,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
1075,30,W,29,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,rw,
