ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
1219,reset,B,0,1,BOOL,,0,rw,,0,,,,,,,0,0,,,0,,,,
1220,maintenance_mode,B,1,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
1221,mode_preheat,B,2,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
1222,target_menit,W,0,1,SHORT,,0,rw,,,,,,0,,,0,0,,,0,,,,
1223,adjust_menit,W,1,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
1224,sisa_detik_masak,W,2,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1225,total_detik_pemanasan,W,3,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1226,flag_init_start,W,5,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1227,flag_init_masak,W,6,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1228,status_kosong,B,3,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
1229,status_pemanasan,B,4,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
1230,status_pemasakan,B,5,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
1231,status_selesai,B,6,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
1232,status_banner,W,7,25,STRING,DEFAULT,50,rw,,,,,,,,,0,0,,,0,,,,
1233,suhu_awal,W,32,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1234,suhu_akhir,W,33,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1235,perubahan_waktu,W,34,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1236,tampil_jam_mulai,W,35,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
1237,tampil_jam_masak,W,40,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
1238,tampil_jam_selesai,W,45,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
1239,tampil_pemanasan,W,50,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
1240,durasi_aktual,W,55,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
2315,sensor_error,B,7,1,BOOL,,0,rw,,,,,,0,,,0,0,,,0,,,,
2355,status_resep,B,8,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
2386,durasi_aktual_up,W,60,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
